sample
EPICC_C516_A1_G3_L1
EPICC_C537_D1_G9_L1
EPICC_C537_B1_G2_L1
EPICC_C537_B1_G10_L1
EPICC_C538_A1_G6_L1
EPICC_C538_A1_G1_L1
EPICC_C539_D1_G2_L1
EPICC_C539_B1_G4_L1
EPICC_C539_C1_G6_L1
EPICC_C544_C1_G5_L1
EPICC_C544_C1_G4_L1
EPICC_C544_C1_G1_L1
EPICC_C543_D1_G10_L1
EPICC_C543_A1_G4_L1
EPICC_C544_C1_G6_L1
EPICC_C547_B3_L1_L1
EPICC_C549_A1_G9_L1
EPICC_C550_B1_G8_L1
EPICC_C528_A1_G9_D1
EPICC_C542_D1_G8_D1
EPICC_C549_C1_G6_D1
EPICC_C549_A1_G8_D1
EPICC_C560_A1_G8_D1
EPICC_C537_B1_G8_L1
EPICC_C537_B1_G6_L1
EPICC_C538_A1_G10_D1
EPICC_C539_D1_G9_D1
EPICC_C539_D1_G8_D1
EPICC_C539_D1_G3_D1
EPICC_C539_B1_G8_D1
EPICC_C542_C1_G3_L1
EPICC_C547_B3_L1_D1
EPICC_C562_B1_G2_D1
